,wordcount
#cpcforbankers,1
#csphclxamscam,2
#deadlyAspartame…,1
#eco_park_lko,1
#ekthemodiji,1
#examscame,2
#familiestornapart,6
#fa…,5
#forwards,1
#iftaari,23
#income_tax_inspectors_joini…,1
#income_tax_inspectors_j…,1
#juniorTET,1
#juniorkalaorbhasha,1
#know,1
#knowourlegends,1
#maanhaani_aur_jhute_aarop,2
#misandrism,6
#motherisworld,1
#mpadhyapak,1
#news18india,1
#nitingadkari,1
#nurpur,1
#paperleak,2
#patrol,1
#railway,1
#removekhurana,1
#respectceasefireagreement2003,1
#saafsuthramidea,1
#sscscam,1
#stayblessed,1
#uppcsmains2017,2
#uppscmains2017,8
#upsssc,2
#upsssc_गन्ना_सुपरवाइज़र_का_लंबित_रिज़ल्ट_जल्द_घोषित_करो,3
#worldismother,1
#wrongful…,1
#you,1
#zeeहिंदुस्तान_fakenews,1
#अच्छा_आतंकवाद,1
#अदिति,1
#अध्यापक,1
#अनशन_4TH_DAY,1
#अर्थव्यवस्था,2
#अस…,4
#आतंकवाद,1
#आन्दोलन,8
#आप,1
#आप_की_अदालत,4
#इंशाअल्लाह,2
#ई_गवर्…,1
#उत्तरप्रदेश,1
#उत्तरप्रदेश:,1
#उदण्डमार्तण्ड…,2
#एकपैसा!,29
#एकरुपए,16
#कबीर,3
#कशमीर,29
#कांग्रेस_मुक्त_भारत,1
#कांग्रेसी,2
#केरल,16
#कैराना,4
#कैराना_इसका_उदाहरण,4
#खर्च,3
#खोजो_विकास,3
#खोजो_विकास…,2
#गजब_का_संयोग,1
#गाँव_बंद,2
#गूंगीबहरी_गोरी,2
#गोदी,1
#गोली,4
#चाणक्य,1
#चिंतित,1
#जनरल,1
#जागो_मामा,1
#झुटा_मामा,1
#तृणमूल_कॉंग्रेस,10
#तृणमूल_कॉंग्रेस…,2
#तेल_खत्म,2
#दलित,13
#दामघटा,29
#दिव्य…,1
#नियमितीकरण,8
#निष्कासितों_को_बहाल_करो,8
#पण्डित,2
#पत्रकार,5
#परमात्मा,1
#परीक्षा,1
#पलायन,1
#पहला,5
#पाक_आर्मी_चीफ,1
#पेट्रोल,30
#प्रधान_सेवक,2
#फर्क,1
#बंगाल,12
#बचाओ_बचाओ_पॉलिटिक्स,53
#बचाओ_बचाओ_पॉ…,1
#बचाओ_…,4
#बिगाड़ा_भाजपा_का_खेल,2
#बिहार,1
#बीएड,1
#बीएडटीईटी2011,243
#बीएडटीईटी2011बेरोजगार,21
#बीएडटीईटी2011…,1
#बीएडटीईटी2…,16
#बीएडटीईटी…,1
#बीएडटी…,21
